Date,Workout Type,Duration (mins),Calories Burned,Intensity (RPE),Avg Heart Rate,Weight,Age,Sex
2025-07-26,Cardio,30,167.12,2,140,73.0,21,M
2025-07-26,Yoga,30,86.27,4,110,73.0,21,M
2025-07-26,Strength,90,350.41,3,140,73.0,21,M
2025-07-25,HIIT,30,293.13,7,140,73.0,21,M
2025-07-24,Cardio,41,255.84,3,140,73.0,21,M
2025-07-23,Strength,70,346.7,4,140,73.0,21,M
2025-07-27,Cardio,45,426.87,7,140,72.0,22,M
2025-07-27,Cardio,45,426.87,7,140,72.0,22,M
2025-07-27,Cardio,20,125.93,2,140,72.0,21,M
